id	label	x	y	cluster	weight
1	Isidro F. Aguillo	1.8833256445195725	1.615418884386118	1	26
2	Xiaozan Lyu	5.984111882088816	2.290752774792178	1	1
3	Zaida Chinchilla‐Rodríguez	1.3848336975741147	2.0891397211817844	1	26
4	Ciriaco Andrea D’Angelo	2.331440374988877	1.8514760859915773	1	26
5	Juan Miguel Campanario	1.5117055449414167	2.3249208781659316	1	26
6	Giovanni Abramo	2.4381104106725373	2.1531033024138293	1	26
7	Ben R. Martin	1.7781404654059714	2.9183390473260027	1	26
8	Peter van den Besselaar	1.8400115962590873	1.8952201016272174	1	26
9	Rodrigo Costas	3.3063432088795275	2.319620711923389	1	28
10	Hamid R. Jamali	2.2665855623430753	2.3878562571668724	1	26
11	Simone Di Leo	-0.8710725863323068	-0.9732877622484364	2	3
12	Loet Leydesdorff	1.3825992031778256	1.4081018350835866	2	28
13	Monica Scannapieco	-1.7570288413213402	-2.5875417555455136	2	2
14	Cristina I. Font-Julián	10.311275366783471	1.295419115655665	3	1
15	Suzan Verberne	-1.9180930570553465	2.625413530893767	4	3
16	Ludo Waltman	0.9510679194126546	2.5500604340451005	4	29
17	Cassidy R. Sugimoto	2.1832297386966917	1.6394962856710602	1	26
18	Ismael Ràfols	1.5587006244524315	1.8512240992676214	1	26
19	Kevin W. Boyack	2.7237124363601026	2.43134045741925	1	26
20	Philipp Mayr	1.6867476651977231	2.690050110227756	1	26
21	Torben Schubert	1.443060818269274	2.6142099343641205	1	26
22	Mike Thelwall	2.4021037588725913	1.2604462649426802	5	28
23	Matthew S. Bickley	3.385902778035734	-0.7114948990115217	5	2
24	Adolfo Alonso‐Arroyo	10.21744694345939	2.774730167467882	3	3
25	Nicolás Robinson‐García	1.7994145849595617	2.274175681728971	1	26
26	Shiji Chen	1.7370138385036626	6.482968287953579	6	3
27	Ferrán Catalá-López	10.541320027348283	3.3684324527761653	3	3
28	Isabella Peters	2.6270810618328153	1.8226247418232788	1	26
29	Thed N. van Leeuwen	1.9949701160382338	2.566326651140548	1	26
30	Marc Luwel	2.725138551047994	2.1321367246803873	1	26
31	Fei Shu	1.9649879173670497	5.656475570673686	6	4
32	Juan Pablo Bascur	-1.6805734578428357	3.797636900656462	4	3
33	Quentin L. Burrell	2.0699587402702586	2.1034749507005093	1	26
34	Vincent Larivière	2.023498764452187	3.5284619529992325	6	30
35	Enrique Orduña‐Malea	8.306674361065452	2.4285636897069227	3	5
36	Henry Small	2.6619694892518373	2.727249513497517	1	26
37	Anne‐Wil Harzing	2.3703879069176166	2.923063483591193	1	26
38	Dag W. Aksnes	2.0769440120408302	2.9148837178016023	1	26
39	Katherine W. McCain	2.388035152267883	2.6624578070056772	1	26
40	Cinzia Daraio	-0.4014542280871825	-1.343816440714524	2	3
41	Nees Jan van Eck	-1.8725579496736962	3.22725928312394	4	3
42	Kayvan Kousha	2.754444909236747	-0.9076662277287324	5	2
43	José-Antonio Ontalba-Ruipérez	10.799486099576484	2.4613216282701655	3	3
44	Yanhui Song	1.0349758224687107	6.17586327733176	6	3
45	Meijia Yang	2.892661043990839	6.2113676809743	6	2
